fastq,expected_md5_checksum,actual_md5_checksum,md5_matches
CRR710892_r2.fq.gz,b425d1e1b2e06d40634ed0de58ac15c0,b425d1e1b2e06d40634ed0de58ac15c0,True
CRR710893_f1.fq.gz,bbdefedb1259896b0217a6b0947f0bd8,bbdefedb1259896b0217a6b0947f0bd8,True
CRR710893_r2.fq.gz,cac6febfa98f9f36489945e0d4fe4f24,cac6febfa98f9f36489945e0d4fe4f24,True
CRR710894_f1.fq.gz,ccd509548cc06f8e25dff2a5098b5603,ccd509548cc06f8e25dff2a5098b5603,True
CRR710894_r2.fq.gz,390d6766fd95f032008fc99ddcbf3a34,390d6766fd95f032008fc99ddcbf3a34,True
CRR710895_f1.fq.gz,334c6e42498ccabd28302c81d22212c1,334c6e42498ccabd28302c81d22212c1,True
CRR710895_r2.fq.gz,a84877cafdf7252802b29e752847801a,a84877cafdf7252802b29e752847801a,True
CRR710896_f1.fq.gz,1c28100da0b2fcd5361b7d536951e1db,1c28100da0b2fcd5361b7d536951e1db,True
CRR710896_r2.fq.gz,52c66f0fcbf0ffbd8fc1b7561a8834d3,52c66f0fcbf0ffbd8fc1b7561a8834d3,True
CRR710897_f1.fq.gz,c9b97af37f5c3a862a5597c9d08c5fbd,c9b97af37f5c3a862a5597c9d08c5fbd,True
CRR710897_r2.fq.gz,4c4f28e77ffff0638b178d503c473dc2,4c4f28e77ffff0638b178d503c473dc2,True
CRR710898_f1.fq.gz,c762d533c8375e609d6392b8a3ed0dff,c762d533c8375e609d6392b8a3ed0dff,True
CRR710898_r2.fq.gz,741d83c5b34171d9794ca097bad90877,741d83c5b34171d9794ca097bad90877,True
CRR710899_f1.fq.gz,bcf1d241afdc52663a5b1a9e63d39a4d,bcf1d241afdc52663a5b1a9e63d39a4d,True
CRR710899_r2.fq.gz,1594170d8ab87d19b1022a538710d938,1594170d8ab87d19b1022a538710d938,True
CRR710900_f1.fq.gz,24c03c370b29102c91ad402db88af3bd,24c03c370b29102c91ad402db88af3bd,True
CRR710900_r2.fq.gz,c05ace78ea8a57049480e4e8d55c6b95,c05ace78ea8a57049480e4e8d55c6b95,True
CRR710901_f1.fq.gz,f00bfcc35b01dc254ab7e161d318ba69,f00bfcc35b01dc254ab7e161d318ba69,True
CRR710901_r2.fq.gz,3c9a1a89529a104e4ee3872702cbedee,3c9a1a89529a104e4ee3872702cbedee,True
CRR710902_f1.fq.gz,d2da594fd0982a34d968f187ef5e9366,d2da594fd0982a34d968f187ef5e9366,True
CRR710902_r2.fq.gz,ecbe30c2fb60fb156c46fae11b8356cf,ecbe30c2fb60fb156c46fae11b8356cf,True
CRR710903_f1.fq.gz,a8d1cb238494f963fc0ff4fb203870e3,a8d1cb238494f963fc0ff4fb203870e3,True
CRR710903_r2.fq.gz,391fe5d2c1bb20129212bb922f3c9dce,391fe5d2c1bb20129212bb922f3c9dce,True
CRR710904_f1.fq.gz,7f52aca44eeeb7b608278a7cc90a60c1,7f52aca44eeeb7b608278a7cc90a60c1,True
CRR710904_r2.fq.gz,bc2969228f050a85e37e75086e42d17d,bc2969228f050a85e37e75086e42d17d,True
CRR710905_f1.fq.gz,f2027687936e1e213081cb6ef12de5a3,f2027687936e1e213081cb6ef12de5a3,True
CRR710905_r2.fq.gz,466f5ad476418a1fa743d75a2d198f86,466f5ad476418a1fa743d75a2d198f86,True
CRR710906_f1.fq.gz,91ceeb58a973eaa37cdeeb9475804d03,91ceeb58a973eaa37cdeeb9475804d03,True
CRR710906_r2.fq.gz,9c67d33030a1696a328766060e9b68a5,9c67d33030a1696a328766060e9b68a5,True
CRR710907_f1.fq.gz,dd89806f9d28340e7609ae41767b1b81,dd89806f9d28340e7609ae41767b1b81,True
CRR710907_r2.fq.gz,9a9cba76b86e0c0f61ddc46ddc9aa76b,9a9cba76b86e0c0f61ddc46ddc9aa76b,True
CRR710908_f1.fq.gz,81346df593b8b0f7a747bba8b04ed5f8,81346df593b8b0f7a747bba8b04ed5f8,True
CRR710908_r2.fq.gz,88a03e2bc4fc1565ab0917fcebe48b09,88a03e2bc4fc1565ab0917fcebe48b09,True
CRR710909_f1.fq.gz,f582d71cbef4f0011c49315467903b5a,f582d71cbef4f0011c49315467903b5a,True
CRR710909_r2.fq.gz,46a69672fb2d7e2d450e1bf554ea85fa,46a69672fb2d7e2d450e1bf554ea85fa,True
CRR710910_f1.fq.gz,19ce367009e5faae57e8ce2640a11a92,19ce367009e5faae57e8ce2640a11a92,True
CRR710910_r2.fq.gz,e2f64c7b1c729c33bfd05ccefcb3fa11,e2f64c7b1c729c33bfd05ccefcb3fa11,True
CRR710911_f1.fq.gz,0189d0d925bf5bfe617a0fa98e87103d,0189d0d925bf5bfe617a0fa98e87103d,True
CRR710911_r2.fq.gz,eb72fcdf223629cfecc8d21649971cb7,eb72fcdf223629cfecc8d21649971cb7,True
CRR710912_f1.fq.gz,439dd8ce8bb90118f99ad7d3fd817692,439dd8ce8bb90118f99ad7d3fd817692,True
CRR710912_r2.fq.gz,c7c0c2236284cbf284a50f5193e5859b,c7c0c2236284cbf284a50f5193e5859b,True
CRR710913_f1.fq.gz,c98b7dbe33ec961fe641f6808b4d5d31,c98b7dbe33ec961fe641f6808b4d5d31,True
CRR710913_r2.fq.gz,7e17c930a4d1a5414e4b4fdec24739c8,7e17c930a4d1a5414e4b4fdec24739c8,True
CRR710914_f1.fq.gz,907927582d43720338ba672cb2e33066,907927582d43720338ba672cb2e33066,True
CRR710914_r2.fq.gz,000c76886eaf1b41c381baa1faec7ce1,000c76886eaf1b41c381baa1faec7ce1,True
CRR710915_f1.fq.gz,d47173f8ca426dd8f6e68d858138ddb2,d47173f8ca426dd8f6e68d858138ddb2,True
CRR710915_r2.fq.gz,1a05b7baff15a7d4d22bd9db95b7b48d,1a05b7baff15a7d4d22bd9db95b7b48d,True
CRR710916_f1.fq.gz,14528e29029c094166c5d593cd55c97a,14528e29029c094166c5d593cd55c97a,True
CRR710916_r2.fq.gz,c0944eccc602331a348a9f912233d963,c0944eccc602331a348a9f912233d963,True
CRR710917_f1.fq.gz,e27e953c4949aae456844ebb463bca32,e27e953c4949aae456844ebb463bca32,True
CRR710917_r2.fq.gz,df5e67e0b50a6e22fd1bcccc4f464ec4,df5e67e0b50a6e22fd1bcccc4f464ec4,True
CRR710918_f1.fq.gz,5a32ca92ffbbad101d8dd7179ad780d5,5a32ca92ffbbad101d8dd7179ad780d5,True
CRR710918_r2.fq.gz,263117960c5b06d7082269874038bc1f,263117960c5b06d7082269874038bc1f,True
CRR710919_f1.fq.gz,6150b4d01b2285347b21d33c689ce7c9,6150b4d01b2285347b21d33c689ce7c9,True
CRR710919_r2.fq.gz,8136502516327bac7e5cf31593106554,8136502516327bac7e5cf31593106554,True
CRR710920_f1.fq.gz,8c4d1d3c91866c09f5d5d1dc3e7b3a22,8c4d1d3c91866c09f5d5d1dc3e7b3a22,True
CRR710920_r2.fq.gz,998796db1614cae936edd8ed0f14297a,998796db1614cae936edd8ed0f14297a,True
CRR710921_f1.fq.gz,ffdf3a7e11bece75f61059ec478f2177,ffdf3a7e11bece75f61059ec478f2177,True
CRR710921_r2.fq.gz,56c42638e54a3e5bfebcdce301c4dc86,56c42638e54a3e5bfebcdce301c4dc86,True
CRR710922_f1.fq.gz,bce3499204fb67b7ba8c6743fe26da20,bce3499204fb67b7ba8c6743fe26da20,True
CRR710922_r2.fq.gz,1f3d4ad0f7b93a40cddb255c7dfb0af6,1f3d4ad0f7b93a40cddb255c7dfb0af6,True
CRR710923_f1.fq.gz,436559ce691494909143458e71a3fa21,436559ce691494909143458e71a3fa21,True
CRR710923_r2.fq.gz,ad54a91eb4f2ec9bcb9f9f47c634a732,ad54a91eb4f2ec9bcb9f9f47c634a732,True
CRR710924_f1.fq.gz,477bcc44e49ee8e00e4d4877b552212d,477bcc44e49ee8e00e4d4877b552212d,True
CRR710924_r2.fq.gz,a675f586eb2895d40d2523a1a4d26dad,a675f586eb2895d40d2523a1a4d26dad,True
CRR710925_f1.fq.gz,c152c2828beb4400719f93bb70e9a0e9,c152c2828beb4400719f93bb70e9a0e9,True
CRR710925_r2.fq.gz,5f6236023cfeba906a6035f35362db94,5f6236023cfeba906a6035f35362db94,True
CRR710926_f1.fq.gz,5c53fa52c9bf79f2f0eb1ea8ea2965ca,5c53fa52c9bf79f2f0eb1ea8ea2965ca,True
CRR710926_r2.fq.gz,f4a0c8ef4450b8b73f5c040a310f77a3,f4a0c8ef4450b8b73f5c040a310f77a3,True
CRR710927_f1.fq.gz,7f2f01617d21a1f41b245aa5d1af44f7,7f2f01617d21a1f41b245aa5d1af44f7,True
CRR710927_r2.fq.gz,fea00b3c54726fd45213247510eb730b,fea00b3c54726fd45213247510eb730b,True
CRR710928_f1.fq.gz,77362a31ba5401ccce49299e436f3fb6,77362a31ba5401ccce49299e436f3fb6,True
CRR710928_r2.fq.gz,d7044bfae499f647a496f1905636732a,d7044bfae499f647a496f1905636732a,True
